"province_state","confirmed","deaths","case_fataility_ratio"
"Nevada",227046,3143,1.3173768606822136
"Washington",246752,3461,1.2270356465279317
"Alaska",47019,206,0.502313765750558
"Hawaii",22397,289,1.1479425703346695
"Wyoming",44409,438,1.141455044650462
"Montana",81555,961,1.7939490923471328
"Oregon",113909,1477,1.5206404990824236
"Idaho",141077,1436,1.0351705448314845
"Colorado",362438,5435,1.441517846370029
"California",2434974,26298,0.8585567100389627
"Utah",276612,1269,0.5955710680086482
